syndicate,name,cost,rank
The Quills,Virtuos Shadow,"10,000",Rank 5: Architect
The Quills,Virtuos Ghost,"10,000",Rank 5: Architect
The Quills,Magus Elevate,"10,000",Rank 5: Architect
The Quills,Magus Nourish,"10,000",Rank 5: Architect
Solaris United,Pax Soar,"10,000",Rank 5: Old Mate
Solaris United,Pax Charge,"10,000",Rank 5: Old Mate
Solaris United,Pax Bolt,"10,000",Rank 5: Old Mate
Solaris United,Pax Seeker,"10,000",Rank 5: Old Mate
Solaris United,Solaris Armor Set,"125,000",Rank 5: Old Mate
Solaris United,Orb Vallis Scene,"130,000",Rank 5: Old Mate
Solaris United,Fortuna Scene,"130,000",Rank 5: Old Mate
Vox Solaris,Virtuos Surge,"5,000",Rank 2: Agent
Vox Solaris,Virtuos Spike,"5,000",Rank 2: Agent
Vox Solaris,Virtuos Forge,"7,500",Rank 3: Hand
Vox Solaris,Virtuos Trojan,"7,500",Rank 3: Hand
Vox Solaris,Magus Anomaly,"10,000",Rank 4: Instrument
Vox Solaris,Magus Destruct,"10,000",Rank 4: Instrument
Vox Solaris,Magus Lockdown,"10,000",Rank 4: Instrument
Vox Solaris,Magus Firewall,"10,000",Rank 4: Instrument
Vox Solaris,Magus Drive,"10,000",Rank 4: Instrument
Vox Solaris,Magus Repair,"10,000",Rank 5: Shadow
Vox Solaris,Magus Melt,"10,000",Rank 5: Shadow
Vox Solaris,Magus Overload,"10,000",Rank 5: Shadow
Vox Solaris,Magus Accelerant,"10,000",Rank 5: Shadow
Vox Solaris,Magus Glitch,"10,000",Rank 5: Shadow
Vox Solaris,Magus Revert,"10,000",Rank 5: Shadow
Vox Solaris,Praghasa Throne Room Scene,"130,000",Rank 5: Shadow
Ventkids,Air Time,"7,500",Rank 1: Glinty
Ventkids,Trail Blazer,"7,500",Rank 1: Glinty
Ventkids,Mag Locks,"7,500",Rank 1: Glinty
Ventkids,Rail Guards,"7,500",Rank 1: Glinty
Ventkids,Pop Top,"7,500",Rank 2: Whozit
Ventkids,Perfect Balance,"7,500",Rank 2: Whozit
Ventkids,Kinetic Friction,"12,500",Rank 3: Proper Felon
Ventkids,Venerdo Hoverdrive,"12,500",Rank 3: Proper Felon
Ventkids,Inertia Dampeners,"12,500",Rank 3: Proper Felon
Ventkids,Slay Board,"12,500",Rank 3: Proper Felon
Ventkids,Cold Arrival,"15,000",Rank 4: Primo
Ventkids,Mad Stack,"15,000",Rank 4: Primo
Ventkids,Quick Escape,"15,000",Rank 4: Primo
Ventkids,Sonic Boost,"20,000",Rank 5: Logical
Ventkids,Extreme Velocity,"20,000",Rank 5: Logical
Ventkids,Nitro Boost,"20,000",Rank 5: Logical
Ventkids,Thrash Landing,"20,000",Rank 5: Logical
Ventkids,Ventkids Clubhouse Scene,"130,000",Rank 5: Logical
Ventkids,Vapor Trail,"20,000",Rank 5: Logical
Ventkids,Primo Flair,"20,000",Rank 5: Logical
Ventkids,Juice,"20,000",Rank 5: Logical
Entrati,Damaged Necramech Casing,"2,000",Rank 0 Neutral
Entrati,Damaged Necramech Engine,"2,000",Rank 0 Neutral
Entrati,Damaged Necramech Pod,"2,000",Rank 0 Neutral
Entrati,Damaged Necramech Weapon Pod,"2,000",Rank 0 Neutral
Entrati,Cedo Blueprint,"5,000",Rank 4 Friend
Entrati,Cedo Barrel,"5,000",Rank 5 Family
Entrati,Cedo Receiver,"5,000",Rank 5 Family
Entrati,Cedo Stock,"5,000",Rank 5 Family
Entrati,Deimos Cambion Drift Scene,"130,000",Rank 5: Family
Necraloid,Damaged Necramech Weapon Barrel,"2,500",Rank 1: Clearance Agnesis
Necraloid,Damaged Necramech Weapon Receiver,"2,500",Rank 1: Clearance Agnesis
Necraloid,Damaged Necramech Weapon Stock,"2,500",Rank 1: Clearance Agnesis
Necraloid,Necramech Vitality,"10,000",Rank 2: Clearance Modus
Necraloid,Necramech Refuel,"10,000",Rank 2: Clearance Modus
Necraloid,Necramech Intensify,"25,000",Rank 3: Clearance Odima
Necraloid,Necramech Pressure Point,"25,000",Rank 3: Clearance Odima
Necraloid,Necramech Efficiency,"25,000",Rank 3: Clearance Odima
Necraloid,Necramech Drift,"25,000",Rank 3: Clearance Odima
Necraloid,Necramech Friction,"25,000",Rank 3: Clearance Odima
Necraloid,Necramech Flow,"25,000",Rank 3: Clearance Odima
Necraloid,Deimos Chamber Scene,"70,000",Rank 3: Clearance Odima
Necraloid,Ayatan Kitha Sculpture,"50,000",Rank 3: Clearance Odima
The Hex,Höllvania Central Mall Subway,25000,Rank 5: Pizza Party
The Hex,Höllvanian Courtyard Simulacrum,25000,Rank 5: Pizza Party
The Hex,Mall Rotunda Simulacrum,25000,Rank 5: Pizza Party
The Hex,Höllvanian Collapsed Underground Scene,25000,Rank 5: Pizza Party
The Hex,Höllvanian Subway Junction Scene,25000,Rank 5: Pizza Party
The Hex,Primary Crux,7500,Rank 2: Fresh Slice
The Hex,Melee Doughty,7500,Rank 2: Fresh Slice
The Hex,Arcane Camisado,7500,Rank 3: 2-For-1
The Hex,Arcane Impetus,7500,Rank 3: 2-For-1
The Hex,Arcane Truculence,7500,Rank 4: Hot & Fresh
The Hex,Arcane Bellicose,7500,Rank 4: Hot & Fresh
The Hex,Secondary Enervate,7500,Rank 5: Pizza Party
The Hex,Arcane Crepuscular,7500,Rank 5: Pizza Party
The Hex,Purgator 1 Barrel,5000,Rank 5: Pizza Party
The Hex,Purgator 1 Receiver,5000,Rank 5: Pizza Party
The Hex,Purgator 1 Stock,5000,Rank 5: Pizza Party
The Hex,Dual Viciss Blade,5000,Rank 5: Pizza Party
The Hex,Dual Viciss Hilt,5000,Rank 5: Pizza Party
The Holdfasts,Zariman Amphitheatre Scene,25000,Rank 5: Angel
The Holdfasts,Zariman Dormizone Scene,25000,Rank 5: Angel
The Holdfasts,Zariman Cargo Bay Scene,25000,Rank 5: Angel
The Holdfasts,Zariman Brig Scene,25000,Rank 5: Angel
The Holdfasts,Zariman Hall Of Legems Scene,25000,Rank 5: Angel
The Holdfasts,Zariman Habitation Zone Scene,25000,Rank 5: Angel
The Holdfasts,Zariman Lunaro Court Scene,25000,Rank 5: Angel
The Holdfasts,Zariman Albrecht Park Scene,25000,Rank 5: Angel
The Holdfasts,Zariman Serenity Levels Scene,25000,Rank 5: Angel
The Holdfasts,Zariman Angel Roost Scene,25000,Rank 5: Angel
The Holdfasts,Zariman Chrysalith Scene,25000,Rank 5: Angel
The Holdfasts,Zariman Schoolyard Scene,25000,Rank 5: Angel
The Holdfasts,Zariman Docking Bay Scene,25000,Rank 5: Angel
The Holdfasts,Zariman Reliquary Drive Scene,25000,Rank 5: Angel
The Holdfasts,Laetum Blueprint,3000,Rank 0: Neutral
The Holdfasts,Innodem Blueprint,5500,Rank 1: Fallen
The Holdfasts,Eternal Eradicate,5000,Rank 1: Fallen
The Holdfasts,Cascadia Accuracy,5000,Rank 1: Fallen
The Holdfasts,Fractalized Reset,5000,Rank 1: Fallen
The Holdfasts,Molt Vigor,5000,Rank 1: Fallen
The Holdfasts,Emergence Savior,5000,Rank 1: Fallen
The Holdfasts,Phenmor Blueprint,6000,Rank 2: Watcher
The Holdfasts,Eternal Onslaught,5500,Rank 2: Watcher
The Holdfasts,Cascadia Flare,5500,Rank 2: Watcher
The Holdfasts,Felarx Blueprint,8000,Rank 3: Guardian
The Holdfasts,Cascadia Empowered,7500,Rank 3: Guardian
The Holdfasts,Molt Efficiency,7500,Rank 3: Guardian
The Holdfasts,Emergence Renewed,7500,Rank 3: Guardian
The Holdfasts,Praedos Blueprint,9000,Rank 4: Seraph
The Holdfasts,Molt Reconstruct,8500,Rank 4: Seraph
The Holdfasts,Eternal Logistics,8500,Rank 4: Seraph
The Holdfasts,Cascadia Overcharge,10000,Rank 5: Angel
The Holdfasts,Emergence Dissipate,10000,Rank 5: Angel
The Holdfasts,Molt Augmented,10000,Rank 5: Angel
The Cavia,Melee Retaliation,"5,000",Rank 3 Colleague
The Cavia,Melee Fortification,"5,000",Rank 3 Colleague
The Cavia,Melee Exposure,"7,500",Rank 4 Scholar
The Cavia,Melee Influence,"7,500",Rank 4 Scholar
The Cavia,Melee Animosity,"7,500",Rank 4 Scholar
The Cavia,Melee Vortex,"7,500",Rank 4 Scholar
The Cavia,Necramech Blitz,"10,000",Rank 1 Assistant
The Cavia,Necramech Enemy Sense,"10,000",Rank 1 Assistant
The Cavia,Necramech Deflection,"10,000",Rank 1 Assistant
The Cavia,Necramech Slipstream,"10,000",Rank 1 Assistant
The Cavia,Necramech Aviator,"10,000",Rank 1 Assistant
The Cavia,Necramech Fury,"10,000",Rank 1 Assistant
The Cavia,Necramech Reach,"10,000",Rank 1 Assistant
The Cavia,Necramech Redirection,"15,000",Rank 2 Researcher
The Cavia,Necramech Augur,"15,000",Rank 2 Researcher
The Cavia,Necramech Rebuke,"15,000",Rank 2 Researcher
The Cavia,Necramech Rage,"15,000",Rank 2 Researcher
The Cavia,Necramech Hydraulics,"15,000",Rank 2 Researcher
The Cavia,Necramech Repair,"25,000",Rank 3 Colleague
The Cavia,Necramech Steel Fiber,"25,000",Rank 3 Colleague
The Cavia,Necramech Continuity,"25,000",Rank 3 Colleague
The Cavia,Necramech Stretch,"25,000",Rank 3 Colleague
The Cavia,Necramech Seismic Wave,"25,000",Rank 3 Colleague
The Cavia,Necramech Streamline,"28,000",Rank 4 Scholar
The Cavia,Necramech Thrusters,"28,000",Rank 4 Scholar
The Cavia,Sanctum Anatomica Scene,"25,000",Rank 5 Illuminate
The Cavia,Fragmented Gorge Scene,"25,000",Rank 5 Illuminate
The Cavia,Fabrica Anatomica Scene,"25,000",Rank 5 Illuminate
The Cavia,Eidolon Zenurik Lens,"60,000",Rank 5 Illuminate
The Cavia,Eidolon Naramon Lens,"60,000",Rank 5 Illuminate
The Cavia,Eidolon Unairu Lens,"60,000",Rank 5 Illuminate
The Cavia,Eidolon Vazarin Lens,"60,000",Rank 5 Illuminate
The Cavia,Eidolon Madurai Lens,"60,000",Rank 5 Illuminate
